2号车: x=0.000000, y=201.687778, on road number15, speed=13.888889, going to turn:0
2号车: x=0.000000, y=194.743333, on road number15, speed=13.888889, going to turn:0
2号车: x=0.000000, y=187.798889, on road number15, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number15, speed=13.888889, going to turn:1
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
2号车: x=0.000000, y=170.970000, on road number4, speed=13.888889, going to turn:0
3号车: x=0.000000, y=199.640000, on road number16, speed=7.000000, going to turn:0
3号车: x=0.000000, y=203.140000, on road number16, speed=7.000000, going to turn:0
3号车: x=0.000000, y=206.640000, on road number16, speed=10.500000, going to turn:0
3号车: x=0.000000, y=211.890000, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=218.834444, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=225.778889, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=232.723333, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=239.667778, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=246.612222, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=253.556667, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=260.501111, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=267.445556, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=274.390000, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=281.334444, on road number16, speed=13.888889, going to turn:0
3号车: x=0.000000, y=295.190000, on road number16, speed=13.888889, going to turn:1
3号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
3号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
3号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
3号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
3号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
3号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
4号车: x=0.000000, y=34.760000, on road number27, speed=7.000000, going to turn:0
4号车: x=0.000000, y=38.260000, on road number27, speed=7.000000, going to turn:0
4号车: x=0.000000, y=41.760000, on road number27, speed=10.500000, going to turn:0
4号车: x=0.000000, y=47.010000, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=53.954444, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=60.898889, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=67.843333, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=74.787778, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=81.732222, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=88.676667, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=95.621111, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=102.565556, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=109.510000, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=116.454444, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=123.398889, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=130.343333, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=137.287778, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=144.232222, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=151.176667, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=158.121111, on road number27, speed=13.888889, going to turn:0
4号车: x=0.000000, y=170.970000, on road number27, speed=13.888889, going to turn:1
5号车: x=21.720000, y=295.590000, on road number1, speed=7.000000, going to turn:0
5号车: x=18.220000, y=295.590000, on road number1, speed=7.000000, going to turn:0
5号车: x=14.720000, y=295.590000, on road number1, speed=10.500000, going to turn:0
5号车: x=9.470000, y=295.590000, on road number1, speed=13.888889, going to turn:0
5号车: x=0.000000, y=295.190000, on road number1, speed=13.888889, going to turn:1
5号车: x=0.000000, y=295.190000, on road number15, speed=13.888889, going to turn:0
5号车: x=5.434809, y=299.512980, on road number15, speed=13.888889, going to turn:0
5号车: x=10.869618, y=303.835961, on road number15, speed=13.888889, going to turn:0
5号车: x=16.304427, y=308.158941, on road number15, speed=13.888889, going to turn:0
5号车: x=21.739236, y=312.481922, on road number15, speed=13.888889, going to turn:0
5号车: x=27.174045, y=316.804902, on road number15, speed=13.888889, going to turn:0
5号车: x=32.608854, y=321.127883, on road number15, speed=13.888889, going to turn:0
5号车: x=38.043663, y=325.450863, on road number15, speed=13.888889, going to turn:0
5号车: x=43.478472, y=329.773843, on road number15, speed=13.888889, going to turn:0
5号车: x=48.913281, y=334.096824, on road number15, speed=13.888889, going to turn:0
5号车: x=54.348090, y=338.419804, on road number15, speed=13.888889, going to turn:0
5号车: x=59.782899, y=342.742785, on road number15, speed=13.888889, going to turn:0
5号车: x=65.217708, y=347.065765, on road number15, speed=13.888889, going to turn:0
5号车: x=70.652517, y=351.388746, on road number15, speed=13.888889, going to turn:0
5号车: x=76.087326, y=355.711726, on road number15, speed=13.888889, going to turn:0
5号车: x=81.522135, y=360.034706, on road number15, speed=13.888889, going to turn:0
6号车: x=190.500000, y=295.590000, on road number0, speed=7.000000, going to turn:0
6号车: x=187.000000, y=295.590000, on road number0, speed=7.000000, going to turn:0
6号车: x=183.500000, y=295.590000, on road number0, speed=10.500000, going to turn:0
6号车: x=178.250000, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=171.305556, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=164.361111, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=157.416667, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=150.472222, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=143.527778, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=136.583333, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=129.638889, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=122.694444, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=115.750000, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=108.805556, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=101.861111, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=94.916667, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=87.972222, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=81.027778, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=74.083333, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=67.138889, y=295.590000, on road number0, speed=13.888889, going to turn:0
6号车: x=60.194444, y=295.590000, on road number0, speed=13.888889, going to turn:0
7号车: x=240.070000, y=104.430000, on road number9, speed=7.000000, going to turn:0
7号车: x=243.570000, y=104.430000, on road number9, speed=7.000000, going to turn:0
7号车: x=247.070000, y=104.430000, on road number9, speed=10.500000, going to turn:0
7号车: x=252.320000, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=259.264444, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=266.208889, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=273.153333, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=280.097778, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=287.042222, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=293.986667, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=300.931111, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=307.875556, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=314.820000, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=321.764444, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=328.708889, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=335.653333, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=342.597778, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=349.542222, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=356.486667, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=363.431111, y=104.430000, on road number9, speed=13.888889, going to turn:0
7号车: x=371.110000, y=107.430000, on road number9, speed=13.888889, going to turn:1
8号车: x=151.170000, y=198.520000, on road number18, speed=7.000000, going to turn:0
8号车: x=151.170000, y=195.020000, on road number18, speed=7.000000, going to turn:0
8号车: x=151.170000, y=191.520000, on road number18, speed=10.500000, going to turn:0
8号车: x=151.170000, y=186.270000, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=179.325556, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=172.381111, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=165.436667, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=158.492222, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=151.547778, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=144.603333, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=137.658889, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=130.714444, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=123.770000, on road number18, speed=13.888889, going to turn:0
8号车: x=151.170000, y=107.430000, on road number18, speed=13.888889, going to turn:1
8号车: x=151.170000, y=107.430000, on road number9, speed=13.888889, going to turn:0
8号车: x=158.114444, y=107.430000, on road number9, speed=13.888889, going to turn:0
8号车: x=165.058889, y=107.430000, on road number9, speed=13.888889, going to turn:0
8号车: x=172.003333, y=107.430000, on road number9, speed=13.888889, going to turn:0
8号车: x=178.947778, y=107.430000, on road number9, speed=13.888889, going to turn:0
8号车: x=185.892222, y=107.430000, on road number9, speed=13.888889, going to turn:0
8号车: x=192.836667, y=107.430000, on road number9, speed=13.888889, going to turn:0
9号车: x=47.350000, y=170.970000, on road number4, speed=7.000000, going to turn:0
9号车: x=50.850000, y=170.970000, on road number4, speed=7.000000, going to turn:0
9号车: x=54.350000, y=170.970000, on road number4, speed=10.500000, going to turn:0
9号车: x=59.600000, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=66.544444, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=73.488889, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=80.433333, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=87.377778, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=94.322222, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=101.266667, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=108.211111, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=115.155556, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=122.100000, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=129.044444, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=135.988889, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=142.933333, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=149.877778, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=156.822222, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=163.766667, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=170.711111, y=170.970000, on road number4, speed=13.888889, going to turn:0
9号车: x=177.655556, y=170.970000, on road number4, speed=13.888889, going to turn:0
10号车: x=224.480000, y=48.890000, on road number15, speed=7.000000, going to turn:0
10号车: x=227.980000, y=48.890000, on road number15, speed=7.000000, going to turn:0
10号车: x=231.480000, y=48.890000, on road number15, speed=10.500000, going to turn:0
10号车: x=236.730000, y=48.890000, on road number15, speed=13.888889, going to turn:0
10号车: x=243.674444, y=48.890000, on road number15, speed=13.888889, going to turn:0
10号车: x=251.260000, y=48.890000, on road number15, speed=13.888889, going to turn:1
10号车: x=251.260000, y=48.890000, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=48.890000, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=48.890000, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=55.834444, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=62.778889, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=69.723333, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=76.667778, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=83.612222, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=90.556667, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=97.501111, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=104.445556, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=111.390000, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=118.334444, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=125.278889, on road number32, speed=13.888889, going to turn:0
10号车: x=251.260000, y=132.223333, on road number32, speed=13.888889, going to turn:0
