t,#,x,y,road,speed,turn,
8,7,280.097778,104.430000,9,13.888889,0,
9,7,287.042222,104.430000,9,13.888889,0,
10,7,293.986667,104.430000,9,13.888889,0,
11,7,300.931111,104.430000,9,13.888889,0,
12,7,307.875556,104.430000,9,13.888889,0,
13,7,314.820000,104.430000,9,13.888889,0,
14,7,321.764444,104.430000,9,13.888889,0,
15,7,328.708889,104.430000,9,13.888889,0,
16,7,335.653333,104.430000,9,13.888889,0,
17,7,342.597778,104.430000,9,13.888889,0,
18,7,349.542222,104.430000,9,13.888889,0,
19,7,356.486667,104.430000,9,13.888889,0,
20,7,363.431111,104.430000,9,13.888889,0,
21,7,371.110000,107.430000,9,13.888889,1,
1,8,151.170000,198.520000,18,7.000000,0,
2,8,151.170000,195.020000,18,7.000000,0,
3,8,151.170000,191.520000,18,10.500000,0,
4,8,151.170000,186.270000,18,13.888889,0,
5,8,151.170000,179.325556,18,13.888889,0,
6,8,151.170000,172.381111,18,13.888889,1,
7,8,151.170000,172.381111,7,5.600389,0,
8,8,151.170000,172.381111,7,5.600389,0,
9,8,151.170000,172.381111,7,5.600389,0,
10,8,151.170000,172.381111,7,5.600389,0,
11,8,151.170000,172.381111,7,5.600389,0,
12,8,151.170000,172.381111,7,5.600389,0,
13,8,151.170000,172.381111,7,5.600389,0,
14,8,151.170000,172.381111,7,5.600389,0,
15,8,151.170000,172.381111,7,5.600389,0,
16,8,151.170000,172.381111,7,5.600389,0,
17,8,148.369806,172.381111,7,9.100389,0,
18,8,143.819611,172.381111,7,12.600389,0,
19,8,137.519417,172.381111,7,13.888889,0,
20,8,130.574972,172.381111,7,13.888889,0,
21,8,123.630528,172.381111,7,13.888889,0,
1,9,47.350000,170.970000,4,7.000000,0,
2,9,50.850000,170.970000,4,7.000000,0,
3,9,54.350000,170.970000,4,10.500000,0,
4,9,59.600000,170.970000,4,13.888889,0,
5,9,66.544444,170.970000,4,13.888889,0,
6,9,73.488889,170.970000,4,13.888889,0,
7,9,80.433333,170.970000,4,13.888889,0,
8,9,87.377778,170.970000,4,13.888889,0,
9,9,94.322222,170.970000,4,13.888889,0,
10,9,101.266667,170.970000,4,13.888889,0,
11,9,108.211111,170.970000,4,13.888889,0,
12,9,115.155556,170.970000,4,13.888889,0,
13,9,122.100000,170.970000,4,13.888889,0,
14,9,129.044444,170.970000,4,13.888889,0,
15,9,135.988889,170.970000,4,13.888889,0,
16,9,142.933333,170.970000,4,13.888889,0,
17,9,149.877778,170.970000,4,13.888889,1,
18,9,149.877778,170.970000,5,13.888889,0,
19,9,156.822222,170.970000,5,13.888889,0,
20,9,163.766667,170.970000,5,13.888889,0,
21,9,170.711111,170.970000,5,13.888889,0,
1,10,224.480000,48.890000,15,7.000000,0,
2,10,227.980000,48.890000,15,7.000000,0,
3,10,231.480000,48.890000,15,10.500000,0,
4,10,236.730000,48.890000,15,13.888889,0,
5,10,243.674444,48.890000,15,13.888889,0,
6,10,251.260000,48.890000,15,13.888889,1,
7,10,251.260000,48.890000,32,13.888889,1,
8,10,251.260000,48.890000,32,13.888889,1,
9,10,251.260000,48.890000,32,13.888889,1,
10,10,251.260000,48.890000,32,13.888889,1,
11,10,251.260000,48.890000,32,13.888889,1,
12,10,251.260000,48.890000,32,13.888889,1,
13,10,251.260000,48.890000,32,13.888889,1,
14,10,251.260000,48.890000,32,13.888889,1,
15,10,251.260000,48.890000,32,13.888889,1,
16,10,251.260000,48.890000,32,13.888889,1,
17,10,251.260000,48.890000,32,13.888889,1,
18,10,251.260000,48.890000,32,13.888889,1,
19,10,251.260000,48.890000,32,13.888889,1,
20,10,251.260000,48.890000,32,13.888889,1,
21,10,251.260000,48.890000,32,13.888889,1,
